id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,id_vial,desc_clase,desc_nombre,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,cal_edificio
2536,280031236,6,TETUAN              ,603,CASTILLEJOS         ,11030964,1,400350,CALLE                   ,JOSE CASTAN TOBEÑAS                               ,NUM,1,28020,1,Puerta Calle,1,Abierto,40,,PB,08,,,TAPIKAS,1,Anual,1,Abierta,52.99,36.56,28/05/2015,11030964,1,400350,CALLE                   ,JOSE CASTAN TOBEÑAS                               ,NUM,1,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,21,15.0,72,60.0,  
1900,270419125,12,USERA               ,1201,ORCASITAS           ,11080710,1,342700,CALLE                   ,GRAN AVENIDA                                      ,NUM,41,28041,1,Puerta Calle,1,Abierto,30,,PB,02,,,CAFETERIA PAQUI,2,Estacional,1,Abierta,18.0,,26/03/2015,11080710,1,342700,CALLE                   ,GRAN AVENIDA                                      ,NUM,41,  ,Acera,,,,,0,0.0,6,0.0,14,0.0,  
2540,280066914,20,SAN BLAS-CANILLEJAS ,2004,ARCOS               ,20129192,1,88998067,CALLE                   ,AQUITANIA                                         ,NUM,42,28032,1,Puerta Calle,1,Abierto,10,,PB,,,,ROTULO SIN INFORMAR,1,Anual,1,Abierta,1.68,1.68,01/06/2015,20125381,1,2581,CALLE                   ,SARRE                                             ,NUM,10,  ,Acera,08:00:00,01:00:00,08:00:00,01:00:00,0,0.0,2,2.0,2,2.0,  
1916,280053530,11,CARABANCHEL         ,1103,SAN ISIDRO          ,11072681,1,332700,CALLE                   ,GENERAL RICARDOS                                  ,NUM,62,28019,1,Puerta Calle,1,Abierto,10,,PB,02,,,HELADOS ITALIANOS TOZZI,2,Estacional,1,Abierta,12.74,,30/03/2015,11072681,1,332700,CALLE                   ,GENERAL RICARDOS                                  ,NUM,62,  ,Acera,,,,,0,0.0,5,0.0,15,0.0,  
2541,270082655,4,SALAMANCA           ,406,CASTELLANA          ,11019783,1,356200,CALLE                   ,HERMANOS BECQUER                                  ,NUM,6,28006,1,Puerta Calle,1,Abierto,10,,PB,01,,,BECQUER 6 FOOD & DRINKS,1,Anual,1,Abierta,5.03,5.03,01/06/2015,11019783,1,356200,CALLE                   ,HERMANOS BECQUER                                  ,NUM,6,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,2,2.0,6,6.0,  
1927,270367051,3,RETIRO              ,306,NIÑO JESUS          ,11013562,1,239500,CALLE                   ,DOCE DE OCTUBRE                                   ,NUM,16,28009,1,Puerta Calle,1,Abierto,30,,PB,01,,,CAFETERIA COEUR D AMANDE,1,Anual,1,Abierta,14.06,14.06,31/03/2015,11013562,1,239500,CALLE                   ,DOCE DE OCTUBRE                                   ,NUM,16,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,4,4.0,8,8.0,  
2549,285027962,14,MORATALAZ           ,1403,MARROQUINA          ,11101413,1,241950,AVENIDA                 ,DOCTOR GARCIA TAPIA                               ,NUM,208,28030,1,Puerta Calle,1,Abierto,60,,PB,04,,,LA CASITA DE CARLOTA,1,Anual,1,Abierta,8.5,8.5,01/06/2015,11101413,1,241950,AVENIDA                 ,DOCTOR GARCIA TAPIA                               ,NUM,208,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,4,4.0,11,11.0,  
1928,270059525,3,RETIRO              ,301,PACIFICO            ,11010851,1,88999450,AVENIDA                 ,MEDITERRANEO                                      ,NUM,2,28007,1,Puerta Calle,1,Abierto,40,,PB,01,,,DEPORTES PERISO,2,Estacional,1,Abierta,19.44,,31/03/2015,11010836,1,158900,CALLE                   ,CAVANILLES                                        ,NUM,1,  ,Acera,,,,,0,0.0,6,0.0,24,0.0,  
2553,280007570,1,CENTRO              ,101,PALACIO             ,11000684,1,158700,CALLE                   ,CAVA BAJA                                         ,NUM,42,28005,1,Puerta Calle,1,Abierto,10,,PB,04,,,LA POTENTE,1,Anual,1,Abierta,24.0,24.0,01/06/2015,20003986,1,369800,PLAZA                   ,HUMILLADERO                                       ,NUM,2,  ,Acera,10:00:00,23:00:00,10:00:00,23:00:00,0,0.0,9,9.0,29,29.0,  
1778,130001802,13,PUENTE DE VALLECAS  ,1303,PALOMERAS BAJAS     ,20082187,1,554750,AVENIDA                 ,PABLO NERUDA                                      ,NUM,77,28018,1,Puerta Calle,1,Abierto,50,,PB,02,,,EVIN KEBAP PIZZA,2,Estacional,1,Abierta,29.2,,20/03/2015,20082187,1,554750,AVENIDA                 ,PABLO NERUDA                                      ,NUM,77, A,Acera,,,,,0,0.0,9,0.0,36,0.0, A
2558,270545128,9,MONCLOA-ARAVACA     ,901,CASA DE CAMPO       ,11052097,1,298900,PASEO                   ,FLORIDA                                           ,NUM,21,28008,1,Puerta Calle,1,Abierto,10,,PB,IZ,,,CAFE CANELA RESTAURANTE,1,Anual,1,Abierta,40.51,40.51,02/06/2015,11052097,1,298900,PASEO                   ,FLORIDA                                           ,NUM,21,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,15,15.0,34,34.0,  
1782,270496639,13,PUENTE DE VALLECAS  ,1304,PALOMERAS SURESTE   ,11096275,1,129450,CALLE                   ,CAMPO DE LA PALOMA                                ,NUM,22,28018,1,Puerta Calle,1,Abierto,10,,PB,01,,,S/R,2,Estacional,1,Abierta,11.2,,20/03/2015,11096275,1,129450,CALLE                   ,CAMPO DE LA PALOMA                                ,NUM,22,  ,Acera,,,,,0,0.0,5,0.0,20,0.0,  
2561,280062175,17,VILLAVERDE          ,1702,SAN CRISTOBAL       ,11126134,1,102300,CALLE                   ,BENIFERRI                                         ,NUM,41,28021,1,Puerta Calle,1,Abierto,20,,PB,17,,,BAR LAS PALMERAS,1,Anual,1,Abierta,16.74,16.74,02/06/2015,11126132,1,102300,CALLE                   ,BENIFERRI                                         ,NUM,37,  ,Acera,08:00:00,00:00:00,08:00:00,00:00:00,0,0.0,8,0.0,21,0.0,  
1801,270032133,13,PUENTE DE VALLECAS  ,1305,PORTAZGO            ,11096879,1,88997399,CALLE                   ,MALGRAT DE MAR                                    ,NUM,8,28038,1,Puerta Calle,1,Abierto,10,IZ,PB,G,,,CERVECERIA PASTRANA,1,Anual,1,Abierta,46.5,14.88,20/03/2015,11096879,1,88997399,CALLE                   ,MALGRAT DE MAR                                    ,NUM,8,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,13,4.0,47,14.0,  
2568,280047621,8,FUENCARRAL-EL PARDO ,806,VALVERDE            ,11047303,1,141550,AVENIDA                 ,CARDENAL HERRERA ORIA                             ,NUM,43,28034,1,Puerta Calle,1,Abierto,10,,PB,,,,RESTAURANTE FENIX,1,Anual,1,Abierta,14.4,14.4,05/06/2015,11047303,1,141550,AVENIDA                 ,CARDENAL HERRERA ORIA                             ,NUM,43,  ,Acera,09:00:00,00:00:00,09:00:00,00:00:00,0,0.0,4,4.0,16,16.0,  
1804,270548903,13,PUENTE DE VALLECAS  ,1301,ENTREVIAS           ,11090369,1,505200,CALLE                   ,MESTANZA                                          ,NUM,106,28053,1,Puerta Calle,4,Cerrado,20,,PB,01,,,BAR LOS MORALES,2,Estacional,1,Abierta,30.78,,20/03/2015,11090369,1,505200,CALLE                   ,MESTANZA                                          ,NUM,106,  ,Acera,,,,,0,0.0,8,0.0,32,0.0,  
2575,280048873,8,FUENCARRAL-EL PARDO ,804,EL PILAR            ,31035604,1,169650,PLAZA                   ,CIEZA                                             ,NUM,1,28034,1,Puerta Calle,1,Abierto,30,,PB,L13,,,LA MESA PUESTA,2,Estacional,1,Abierta,14.94,,08/06/2015,31035604,1,169650,PLAZA                   ,CIEZA                                             ,NUM,1,  ,Acera,,,,,0,0.0,5,0.0,20,0.0,  
1809,270456732,13,PUENTE DE VALLECAS  ,1305,PORTAZGO            ,11097987,1,573400,CALLE                   ,PEDRO LABORDE                                     ,NUM,60,28018,1,Puerta Calle,1,Abierto,20,,PB,02,,,TOSTAS Y PINTXOS,1,Anual,1,Abierta,23.97,23.97,20/03/2015,11097987,1,573400,CALLE                   ,PEDRO LABORDE                                     ,NUM,60,  ,Acera,10:00:00,01:00:00,10:00:00,01:00:00,0,0.0,9,9.0,36,36.0,  
1950,280007766,1,CENTRO              ,101,PALACIO             ,11000991,1,669000,CARRERA                 ,SAN FRANCISCO                                     ,NUM,13,28005,1,Puerta Calle,1,Abierto,20,,PB,01,,,TOMA JAMON,1,Anual,1,Abierta,12.71,12.71,01/04/2015,11000991,1,669000,CARRERA                 ,SAN FRANCISCO                                     ,NUM,13,  ,Acera,10:00:00,23:00:00,10:00:00,23:00:00,0,0.0,4,4.0,14,14.0,  
1810,270437949,13,PUENTE DE VALLECAS  ,1301,ENTREVIAS           ,11089611,1,576100,CALLE                   ,PEIRONCELY                                        ,NUM,29,28053,1,Puerta Calle,1,Abierto,10,,PB,1A,,,CERVECERIA LA CANTINA,1,Anual,1,Abierta,38.4,38.4,20/03/2015,11089611,1,576100,CALLE                   ,PEIRONCELY                                        ,NUM,29,  ,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,12,0.0,42,0.0,  
1975,270248632,8,FUENCARRAL-EL PARDO ,803,PEÑA GRANDE         ,20073855,1,587600,CALLE                   ,PICO BALAITUS                                     ,NUM,44,28035,1,Puerta Calle,1,Abierto,30,,PB,02,,,MUNDUS COFFE & BEERS,1,Anual,1,Abierta,64.0,64.0,01/04/2015,20073959,1,1152,PLAZA                   ,PEÑA HORCAJO                                      ,NUM,21,  ,Plaza con bandas permanentes de circulación rodada,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,16,16.0,64,64.0,  
1812,270532134,13,PUENTE DE VALLECAS  ,1302,SAN DIEGO           ,11092009,1,578300,CALLE                   ,PEÑA GORBEA                                       ,NUM,14,28053,1,Puerta Calle,1,Abierto,10,,PB,,,,THE DRINK,2,Estacional,1,Abierta,42.0,,20/03/2015,11092009,1,578300,CALLE                   ,PEÑA GORBEA                                       ,NUM,14,  ,Acera,,,,,0,0.0,15,0.0,38,0.0,  
1977,270400244,8,FUENCARRAL-EL PARDO ,804,EL PILAR            ,11046285,1,500900,CALLE                   ,MELCHOR FERNANDEZ ALMAGRO                         ,NUM,101,28029,1,Puerta Calle,1,Abierto,10,,PB,03,,,EL RINCON GOURMET,1,Anual,1,Abierta,41.93,26.6,01/04/2015,31044747,1,337350,CALLE                   ,GINZO DE LIMIA                                    ,NUM,11, B,Acera,10:00:00,00:00:00,10:00:00,00:00:00,0,0.0,16,10.0,48,30.0,  
